               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 164,             0.04633,            0.023382,                   0,             0.99658,                   1,               0.995,               0.199,            0.022924,           0.0095647,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.035081,            0.022081,                   0,             0.99658,                   1,               0.995,               0.199,            0.022924,           0.0095647,                   0,            0.004588,            0.004588,            0.004588
                 166,             0.03956,            0.025699,                   0,             0.99658,                   1,               0.995,               0.199,            0.022924,           0.0095647,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.037034,            0.030288,                   0,             0.99158,                   1,               0.995,               0.199,            0.022102,           0.0092982,                   0,            0.004522,            0.004522,            0.004522
                 168,             0.03733,            0.020257,                   0,             0.99158,                   1,               0.995,               0.199,            0.022102,           0.0092982,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.036323,            0.029018,                   0,             0.99158,                   1,               0.995,               0.199,            0.022102,           0.0092982,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.043408,            0.021324,                   0,             0.99158,                   1,               0.995,               0.199,            0.022102,           0.0092982,                   0,            0.004423,            0.004423,            0.004423
                 171,             0.03697,            0.020053,                   0,             0.99669,                   1,               0.995,               0.199,            0.023268,           0.0090502,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.040239,            0.024716,                   0,             0.99669,                   1,               0.995,               0.199,            0.023268,           0.0090502,                   0,            0.004357,            0.004357,            0.004357
                 173,            0.047733,             0.01884,                   0,             0.99669,                   1,               0.995,               0.199,            0.023268,           0.0090502,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.034671,            0.020882,                   0,             0.99669,                   1,               0.995,               0.199,            0.023268,           0.0090502,                   0,            0.004291,            0.004291,            0.004291
